timestamp_s,seq,evento
0.355551,107,ACK
0.35632,115,ENVIADO
0.35635,108,ACK
0.357112,116,ENVIADO
0.357142,109,ACK
0.357893,117,ENVIADO
0.362866,110,ACK
0.364045,118,ENVIADO
0.364076,111,ACK
0.364859,119,ENVIADO
0.364919,112,ACK
0.365906,120,ENVIADO
0.365924,113,ACK
0.366678,121,ENVIADO
0.366734,114,ACK
0.367573,122,ENVIADO
0.367591,115,ACK
0.368215,123,ENVIADO
0.368269,116,ACK
0.3689,124,ENVIADO
0.368916,117,ACK
0.369469,125,ENVIADO
0.375149,118,ACK
0.375872,126,ENVIADO
0.375898,119,ACK
0.376362,127,ENVIADO
0.376621,120,ACK
0.377048,128,ENVIADO
0.37745,121,ACK
0.377928,129,ENVIADO
0.37826,122,ACK
0.378834,130,ENVIADO
0.378852,123,ACK
0.427169,131,ENVIADO
0.427219,124,ACK
0.450332,132,ENVIADO
0.450402,125,ACK
0.452133,133,ENVIADO
0.452187,126,ACK
0.45402,134,ENVIADO
0.45407,127,ACK
0.455196,135,ENVIADO
0.455237,128,ACK
0.456409,136,ENVIADO
0.456442,129,ACK
0.457314,137,ENVIADO
0.457352,130,ACK
0.458264,138,ENVIADO
0.458293,131,ACK
0.45904,139,ENVIADO
0.461951,132,ACK
0.463087,140,ENVIADO
0.463171,133,ACK
0.463908,141,ENVIADO
0.465543,134,ACK
0.466412,142,ENVIADO
0.466445,135,ACK
0.467162,143,ENVIADO
0.467182,136,ACK
0.467744,144,ENVIADO
0.468112,137,ACK
0.468551,145,ENVIADO
0.468921,138,ACK
0.469393,146,ENVIADO
0.469728,139,ACK
0.470284,147,ENVIADO
0.47385,140,ACK
0.474488,148,ENVIADO
0.474504,141,ACK
0.474969,149,ENVIADO
0.477167,142,ACK
0.477816,150,ENVIADO
0.477871,143,ACK
0.478536,151,ENVIADO
0.4786,144,ACK
0.479441,152,ENVIADO
0.479514,145,ACK
0.480031,153,ENVIADO
0.480049,146,ACK
0.480546,154,ENVIADO
0.480685,147,ACK
0.481448,155,ENVIADO
0.485199,148,ACK
0.486095,156,ENVIADO
0.486137,149,ACK
0.487077,157,ENVIADO
0.488675,150,ACK
0.489507,158,ENVIADO
0.489539,151,ACK
0.490189,159,ENVIADO
0.490249,152,ACK
0.490855,160,ENVIADO
0.49088,153,ACK
0.491605,161,ENVIADO
0.491633,154,ACK
0.492239,162,ENVIADO
0.49227,155,ACK
0.492923,163,ENVIADO
0.497658,156,ACK
0.498562,164,ENVIADO
0.498593,157,ACK
0.499371,165,ENVIADO
0.500222,158,ACK
0.50095,166,ENVIADO
0.500975,159,ACK
0.501556,167,ENVIADO
0.501578,160,ACK
0.502117,168,ENVIADO
0.502296,161,ACK
0.502866,169,ENVIADO
0.502922,162,ACK
0.503565,170,ENVIADO
0.503745,163,ACK
0.504428,171,ENVIADO
0.509433,164,ACK
0.510199,172,ENVIADO
0.510411,165,ACK
0.511168,173,ENVIADO
0.511553,166,ACK
0.547177,174,ENVIADO
0.547235,167,ACK
0.548542,175,ENVIADO
0.548594,168,ACK
0.549754,176,ENVIADO
0.549786,169,ACK
0.550753,177,ENVIADO
0.550794,170,ACK
0.551766,178,ENVIADO
0.551802,171,ACK
0.552975,179,ENVIADO
0.553013,172,ACK
0.554024,180,ENVIADO
0.554067,173,ACK
0.555179,181,ENVIADO
0.558614,174,ACK
0.559679,182,ENVIADO
0.55972,175,ACK
