timestamp_s,bytes_recebidos_no_recv,total_acumulado
0.388978,4096,936824
0.389853,4056,940880
0.390777,4096,944976
0.391337,248,945224
0.39195,4096,949320
0.392781,4096,953416
0.393731,496,953912
0.394478,4096,958008
0.395095,3144,961152
0.395705,4096,965248
0.397181,248,965496
0.397819,4096,969592
0.398536,4096,973688
0.39952,496,974184
0.40054,4096,978280
0.40138,3560,981840
0.402236,4096,985936
0.403441,4096,990032
0.403993,4096,994128
0.404598,4096,998224
0.405723,3888,1002112
0.406438,4096,1006208
0.407148,4096,1010304
0.407812,4096,1014400
0.408676,4096,1018496
0.409224,4096,1022592
0.409635,4096,1026688
0.410104,4096,1030784
0.410684,4096,1034880
0.411613,4096,1038976
0.412161,4096,1043072
0.412867,4096,1047168
0.413686,456,1047624
0.420951,952,1048576
