timestamp_s,bytes_enviados_no_send
0.034657,4096
0.035136,4096
0.035652,4096
0.036297,4096
0.036772,4096
0.038202,4096
0.038575,4096
0.038861,4096
0.039194,4096
0.039726,4096
0.040014,4096
0.04026,4096
0.040552,4096
0.040771,4096
0.041396,4096
0.041676,4096
0.055161,4096
0.056701,4096
0.057643,4096
0.069691,4096
0.097031,4096
0.141513,4096
0.146696,4096
0.147557,4096
0.148319,4096
0.149279,4096
0.150069,4096
0.150776,4096
0.151611,4096
0.152265,4096
0.153263,4096
0.153968,4096
0.154899,4096
0.155284,4096
0.156076,4096
0.158464,4096
0.159465,4096
0.160583,4096
0.161635,4096
0.162731,4096
0.163343,4096
0.163851,4096
0.167153,4096
0.1746,4096
0.177561,4096
0.178596,4096
0.179601,4096
0.180529,4096
0.18148,4096
0.182578,4096
0.183464,4096
0.184198,4096
0.185153,4096
0.186257,4096
0.186942,4096
0.187717,4096
0.188468,4096
0.189358,4096
0.190038,4096
0.191023,4096
0.192301,4096
0.193124,4096
0.194095,4096
0.194827,4096
0.196122,4096
0.196815,4096
0.197826,4096
0.198629,4096
0.19959,4096
0.200456,4096
0.201249,4096
0.202408,4096
0.203475,4096
0.204428,4096
0.205246,4096
0.206416,4096
0.207189,4096
0.208085,4096
0.208775,4096
0.209614,4096
0.210793,4096
0.211767,4096
0.212645,4096
0.213603,4096
0.214503,4096
0.215374,4096
0.216266,4096
0.217037,4096
0.217848,4096
0.218533,4096
0.21958,4096
0.220727,4096
0.221903,4096
0.223046,4096
0.224116,4096
0.224989,4096
0.225891,4096
0.226977,4096
0.227756,4096
0.228619,4096
0.229404,4096
0.230259,4096
0.231205,4096
0.232046,4096
0.233181,4096
0.234008,4096
0.235023,4096
0.236128,4096
0.23702,4096
0.23804,4096
0.238858,4096
0.239776,4096
0.240846,4096
0.241929,4096
0.242651,4096
0.24381,4096
0.244784,4096
0.245741,4096
0.246754,4096
0.247808,4096
0.248904,4096
0.249974,4096
0.251238,4096
0.252818,4096
0.25409,4096
0.255889,4096
0.257138,4096
0.258683,4096
0.260224,4096
0.261734,4096
0.263142,4096
0.264585,4096
0.266244,4096
0.26741,4096
0.268858,4096
0.270086,4096
0.271526,4096
0.272656,4096
0.274143,4096
0.27512,4096
0.276537,4096
0.277833,4096
0.279301,4096
0.280604,4096
0.28189,4096
0.283087,4096
0.284289,4096
0.285728,4096
0.28693,4096
0.288262,4096
0.289664,4096
0.290796,4096
0.292201,4096
0.293424,4096
0.294667,4096
0.295771,4096
0.297615,4096
0.298653,4096
0.299849,4096
0.301252,4096
0.302537,4096
0.303792,4096
0.305045,4096
0.306027,4096
0.30726,4096
0.308728,4096
0.310123,4096
0.311348,4096
0.31228,4096
0.313762,4096
0.314985,4096
0.316587,4096
0.318156,4096
0.319711,4096
0.321126,4096
0.322467,4096
0.324028,4096
0.325319,4096
0.326645,4096
0.328004,4096
0.32925,4096
0.330682,4096
0.332044,4096
0.333296,4096
0.334692,4096
0.335881,4096
0.336918,4096
0.338039,4096
0.339074,4096
0.339993,4096
0.341003,4096
0.342266,4096
0.343797,4096
0.34544,4096
0.346725,4096
0.347763,4096
0.348669,4096
0.349905,4096
0.351424,4096
0.352515,4096
0.353983,4096
0.355361,4096
0.356666,4096
0.357989,4096
0.359031,4096
0.360666,4096
0.362368,4096
0.36375,4096
0.365185,4096
0.366935,4096
0.368153,4096
0.369637,4096
0.370871,4096
0.371973,4096
0.373043,4096
0.37437,4096
0.375556,4096
0.376817,4096
0.378037,4096
0.379398,4096
0.380154,4096
0.381461,4096
0.382454,4096
0.383608,4096
0.384638,4096
0.385426,4096
0.386279,4096
0.387172,4096
0.388106,4096
0.389291,4096
0.390383,4096
0.391219,4096
0.392108,4096
0.393195,4096
0.394217,4096
0.395224,4096
0.396141,4096
0.397548,4096
0.399044,4096
0.400208,4096
0.401034,4096
0.401796,4096
0.402479,4096
0.403718,4096
0.404431,4096
0.405039,4096
0.406174,4096
0.406845,4096
0.407561,4096
0.408168,4096
0.409176,4096
0.409794,4096
0.410217,4096
0.410541,4096
0.411118,4096
0.411986,4096
